"Source:","/home/jseng/ue4/herbie2/herbie2_pcb/herbie2.sch"
"Date:","Mon 14 Dec 2020 07:40:39 AM PST"
"Tool:","Eeschema 5.1.8-db9833491~88~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Field4","MPN","Manufacturer","Status"
"","","Q1","LTC4412","herbie2-rescue:LTC4412ES6_TRMPBF-dk_PMIC-OR-Controllers-Ideal-Diodes","digikey-footprints:SOT-23-6","http://www.linear.com/docs/1527","Integrated Circuits (ICs)","http://www.linear.com/docs/1527","/product-detail/en/linear-technology-analog-devices/LTC4412ES6-TRMPBF/LTC4412ES6-TRMPBFCT-ND/890097","IC OR CTRLR SRC SELECT TSOT23-6","LTC4412ES6#TRMPBFCT-ND","PMIC - OR Controllers, Ideal Diodes","","LTC4412ES6#TRMPBF","Linear Technology/Analog Devices","Active"
"","","Q2","LTC4412","herbie2-rescue:LTC4412ES6_TRMPBF-dk_PMIC-OR-Controllers-Ideal-Diodes","digikey-footprints:SOT-23-6","http://www.linear.com/docs/1527","Integrated Circuits (ICs)","http://www.linear.com/docs/1527","/product-detail/en/linear-technology-analog-devices/LTC4412ES6-TRMPBF/LTC4412ES6-TRMPBFCT-ND/890097","IC OR CTRLR SRC SELECT TSOT23-6","LTC4412ES6#TRMPBFCT-ND","PMIC - OR Controllers, Ideal Diodes","","LTC4412ES6#TRMPBF","Linear Technology/Analog Devices","Active"
"","","Q3","Si4427","js:Si4427","js:SO-8_3.9x4.9mm_P1.27mm_Si4427","","","","","","","","","Si4427","",""
"","","Q4","Si4427","js:Si4427","js:SO-8_3.9x4.9mm_P1.27mm_Si4427","","","","","","","","","Si4427","",""
"","","Q5","2N7002","dk_Transistors-FETs-MOSFETs-Single:2N7002","digikey-footprints:SOT-23-3","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","/product-detail/en/on-semiconductor/2N7002/2N7002NCT-ND/244664","MOSFET N-CH 60V 115MA SOT-23","2N7002NCT-ND","Transistors - FETs, MOSFETs - Single","","2N7002","ON Semiconductor","Active"
"","","R1","470K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R2","470K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R3","330","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R4","330","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R5","330","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
